id_date,date,day,month,year,day_of_week,day_name,month_name,quarter,weekday_indicator,week_of_year,is_end_of_month,is_end_of_quarter,is_end_of_year,quarter_name,year_month,quarter_year,holiday_indicator
20250702,2025-07-02,2,7,2025,3,Miércoles,Julio,3,Entre Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
20250703,2025-07-03,3,7,2025,4,Jueves,Julio,3,Entre Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
20250704,2025-07-04,4,7,2025,5,Viernes,Julio,3,Entre Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
20250705,2025-07-05,5,7,2025,6,Sábado,Julio,3,Fin de Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
20250706,2025-07-06,6,7,2025,7,Domingo,Julio,3,Fin de Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
20250707,2025-07-07,7,7,2025,1,Lunes,Julio,3,Entre Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250708,2025-07-08,8,7,2025,2,Martes,Julio,3,Entre Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250709,2025-07-09,9,7,2025,3,Miércoles,Julio,3,Entre Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250710,2025-07-10,10,7,2025,4,Jueves,Julio,3,Entre Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250711,2025-07-11,11,7,2025,5,Viernes,Julio,3,Entre Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250712,2025-07-12,12,7,2025,6,Sábado,Julio,3,Fin de Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250713,2025-07-13,13,7,2025,7,Domingo,Julio,3,Fin de Semana,28,False,False,False,T3,2025-07,T3 2025,No Festivo
20250714,2025-07-14,14,7,2025,1,Lunes,Julio,3,Entre Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250715,2025-07-15,15,7,2025,2,Martes,Julio,3,Entre Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250716,2025-07-16,16,7,2025,3,Miércoles,Julio,3,Entre Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250717,2025-07-17,17,7,2025,4,Jueves,Julio,3,Entre Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250718,2025-07-18,18,7,2025,5,Viernes,Julio,3,Entre Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250719,2025-07-19,19,7,2025,6,Sábado,Julio,3,Fin de Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
20250720,2025-07-20,20,7,2025,7,Domingo,Julio,3,Fin de Semana,29,False,False,False,T3,2025-07,T3 2025,No Festivo
